"Pesca marítima. Desembarques totales en el puerto de Ushuaia por principales especies. Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Especie,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021,2022 (1),2023 (2)
Total desembarques puerto Ushuaia,41417.600000000006,96130.2,112565.1,167416.30000000002,116258.1,124784.6,124356.8,107414.6,122011.69999999998,106369.7,109328.09999999999,89259.69999999998,97423.79999999999,97683.2,128205.19999999998,90472.5,103606.99999999999,79658.59999999999,94333.50000000001,101575.5,79693.7,63171.90000000001,69215.3,42485.200000000004,46243.799999999996,53625.399999999994,47957.90000000001,41496.340000000004,53691.5,49524.500000000015,49666.499999999985,49645.1,37723.9,20951.4
Total moluscos,403.5,0.7,2879.4,1652.0,22.2,138.7,1725.0,4491.6,1072.1,1099.8999999999999,153.70000000000002,57.8,1781.4,1911.6999999999998,2196.9,3187.5,3456.5,3014.6,4034.2,2519.7999999999997,1699.1,2861.2,2637.8,1704.0,1501.5,2660.2,1017.6,994.4200000000001,1010.6,1311.0,1185.7,2410.7,1750.1,1818.4
Calamar,401.70000000000005,0.7,2879.4,1652.0,21.2,133.5,1044.5,3932.3,1072.0,1099.6,153.70000000000002,2.9,279.7,444.1,349.5,1444.0,519.5999999999999,809.9,1144.0,224.2,278.9,1012.6,1081.6,158.0,68.7,86.5,0.0,0.58,0.0,235.0,129.5,925.5,5.6,406.3
"Vieira, callos",0.0,0.0,0.0,0.0,0.0,0.0,678.1,558.7,0.0,0.0,0.0,54.9,1501.7,1467.6,1847.4,1743.5,2936.9,2204.7,2890.2,2295.6,1420.2,1848.6,1556.2,1546.0,1432.8,2573.7,1017.6,993.84,1010.6,1076.0,1056.2,1485.2,1744.5,1412.1
Otros moluscos,1.8,0.0,0.0,0.0,1.0,5.2,2.4,0.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,-
Total crustáceos,238.9,249.9,106.80000000000001,64.9,195.79999999999998,316.3,357.8,373.59999999999997,326.7,3650.3,265.79999999999995,182.0,128.6,190.70000000000002,190.4,90.6,384.2,29.400000000000002,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.47,207.6,158.1,170.7,315.8,260.7,53.1
Centollón,149.6,188.9,37.1,14.4,150.2,300.2,345.6,362.4,318.7,93.6,263.4,173.2,124.9,174.3,167.1,51.5,342.2,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,-
Centolla,89.2,61.0,69.7,50.5,45.6,16.1,12.2,11.2,8.0,31.7,2.4,8.8,3.7,16.4,23.3,39.1,42.0,1.3,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.47,207.6,158.1,170.7,315.8,260.7,53.1
Otros crustáceos,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,-
Total peces,40775.200000000004,95879.6,109578.90000000001,165699.40000000002,116040.1,124329.6,122274.0,102549.4,120612.89999999998,101619.5,108908.59999999999,89019.89999999998,95513.79999999999,95580.8,125817.9,87194.4,99766.29999999999,76614.59999999999,90299.30000000002,99053.09999999999,77994.59999999999,60310.70000000001,66577.5,40781.200000000004,44742.299999999996,50965.2,46940.30000000001,40421.450000000004,52473.3,48055.400000000016,48310.09999999999,46919.100000000006,37855.5,19080
Abadejo,234.1,304.9,49.9,379.9,180.8,67.8,305.8,494.6,896.7,534.0,292.5,561.4,1273.3,1129.3,1933.0,1375.2,1339.8,830.7,847.8,804.9,1059.1,729.9,721.2,162.5,217.4,183.8,182.7,91.68,86.3,29.4,55.2,74.5,59.4,28.9
Bacalao austral,59.9,20.0,29.4,181.1,1.7,4.1,28.3,121.6,517.2,338.1,700.5,615.2,1071.5,2244.6,1998.3,1512.7,997.5,1517.6,2313.5,2064.2,1743.3,1362.6,1659.9,791.9,786.8,1005.0,844.8,762.01,549.5,192.4,535.9,470.4,557.5,172.5
Caballa,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.2,127.0,36.7,18.2,0.0,0.0,0.0,0.0,0.0,3.5,0.0,11.2,-,-
Granadero,5.3,14.2,16.4,0.0,0.0,406.9,405.3,78.7,688.9,381.9,1135.4,1152.0,1512.3,2273.9,1707.6,317.5,334.3,148.5,1657.9,1036.2,307.3,453.9,422.2,324.5,706.8,239.6,2132.5,887.13,303.7,615.5,959.8,845.2,727.8,740
Merluza Australis,380.9,158.7,1171.3,1002.6,163.6,300.0,441.6,133.6,684.5,1786.2,2610.1,2546.6,2430.1,2929.1,3528.9,3132.8,2423.7,2366.2,2181.0,2468.0,1795.3,2036.0,2304.0,1899.5,3141.9,2561.5,2178.9,868.67,1108.9,192.6,325.3,261.1,140.4,118.2
Merluza de Cola,1557.1,1936.9,3992.1,18349.1,8599.4,8460.4,20477.4,15841.4,39618.3,40768.4,42639.1,28217.5,44774.3,40316.0,58444.0,36444.4,51753.9,46463.9,54360.5,59519.9,45112.6,39306.8,38637.1,26228.8,27021.1,27619.2,25292.1,18292.32,35696.1,34557.4,32127.1,25243.3,"20,804,6",10639.2
Merluza Hubbssi ,7644.4,26129.300000000003,14765.6,20178.399999999998,12996.3,8369.300000000001,13286.6,11233.9,8326.8,3405.3,15.6,5.2,262.59999999999997,429.59999999999997,7418.7,5707.7,8546.8,3155.9,3686.9,5504.4,12852.5,9250.3,10634.4,460.9,0.0,2258.7,0.9,0.0,2.3,133.3,793.1,314.2,266.6,299.9
Merluza Negra,86.6,41.1,302.4,2676.4,5122.4,7732.0,7867.1,4990.9,5588.4,4155.0,4015.5,3475.0,3097.5,2156.6,1588.3,1107.3,1188.4,1493.4,1524.2,1576.7,1931.5,1908.7,2242.1,2371.9,3197.1,2757.1,2631.9,2602.56,2635.2,2773.9,2687.6,2673.4,2633.8,1756.1
Nototenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,18.5,32.8,40.7,328.8,248.7,424.9,765.3,597.9,331.3,104.9,19.7,7.0,0.0,9.5,1.19,0.8,0.5,6.1,0.4,5.4,2.1
Pampanito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0,0.0,2.8,5.8,26.9,43.4,91.6,297.5,353.1,291.1,472.5,112.2,82.9,101.6,3.3,0.0,5.3,0.0,0.28,0.5,5.6,4.6,9,0.8,0.4
Polaca,30734.7,67006.9,89204.2,122772.4,88899.6,98840.7,79252.9,69535.6,63901.8,49790.2,56675.9,50739.7,39430.1,42698.0,47657.3,36221.4,30723.7,18409.4,19179.2,21168.2,11076.0,3163.9,8272.2,7517.1,8944.4,13630.9,12849.4,15849.74,11514.7,8639.3,9736.7,15821.2,11894.7,5127
Raya,7.3,0.0,0.5,9.2,0.2,4.1,5.6,50.1,217.2,57.2,125.3,103.8,133.4,168.5,143.1,62.4,49.0,82.4,134.3,201.5,228.2,222.29999999999998,255.60000000000002,41.400000000000006,37.699999999999996,103.5,120.1,97.9,60.0,23.8,55.0,36.2,101.39999999999999,33.8
Róbalo,1.3,0.0,0.0,0.6,0.0,0.3,11.5,3.2,0.0,2.1,2.4,4.7,1.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
Rubio,10.0,7.4,1.6,3.2,1.3,0.0,3.8,2.9,28.4,2.0,28.7,1.0,39.4,63.8,136.4,53.8,104.7,18.7,27.6,40.6,67.3,9.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
Salmón,16.0,23.6,17.0,35.6,33.4,2.5,8.2,5.6,0.9,0.0,0.0,0.0,0.1,0.0,2.0,2.1,5.2,0.0,0.0,0.0,0.0,0.0,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
Savorín,3.1,1.3,0.0,43.3,14.8,2.0,11.5,20.0,62.9,306.2,467.5,1067.4,1291.8,967.3,1090.2,1081.4,1592.2,1515.6,3530.3,3357.7,1105.9,1303.3,1160.0,934.0,680.7,600.4,677.9,967.83,505.4,883.8,981.7,1134,663.1,144.9
Tiburón,0.0,0.0,0.0,12.1,0.0,0.3,12.5,1.2,42.7,31.5,5.2,11.5,40.2,18.2,14.7,4.2,12.5,10.3,19.8,35.4,3.5,15.9,2.7,0.0,0.0,0.0,0.3,0.14,0.0,0.0,0.0,-,-,-
Otros peces,34.5,235.3,28.5,55.5,26.6,139.19999999999996,155.79999999999998,33.9,36.199999999999996,61.4,194.89999999999998,515.9000000000001,150.2,139.99999999999997,79.20000000000002,39.2,68.2,0.2,120.3,21.800000000000004,1.8,6.4,16.2,7.0,1.4,0.2,19.3,0.0,9.9,4.4,42.0,25,0.1,17
